tax_id	species	genus	family	order	class	phylum	superkingdom
25792	Phlebia_unica	Phlebia	Meruliaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25793	Phlebia_margaritae	Phlebia	Meruliaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25794	Physisporinus_lavendulus	Physisporinus	Meruliaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25795	Physisporinus_eminens	Physisporinus	Meruliaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25796	Hapalopilus_mutans	Hapalopilus	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25797	Phlebiporia_bubalina	Phlebiporia	Meruliaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25798	Scopuloides_leprosa	Scopuloides	Meruliaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25799	Physisporinus_furcatus	Physisporinus	Meruliaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25800	Hapalopilus_tropicus	Hapalopilus	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25801	Hyphodermella_pallidostraminea	Hyphodermella	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25802	Hyphodermella_poroides	Hyphodermella	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25803	Phanerochaete_thailandica	Phanerochaete	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25804	Phanerochaete_sanguineocarnosa	Phanerochaete	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25805	Phanerochaete_laevis	Phanerochaete	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25806	Phlebiopsis_yunnanensis	Phlebiopsis	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25807	Phlebiopsis_castanea	Phlebiopsis	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25808	Phanerochaete_carnosa	Phanerochaete	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25809	Phanerochaete_cystidiata	Phanerochaete	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25810	Phanerochaete_robusta	Phanerochaete	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25811	Phlebiopsis_xuefengensis	Phlebiopsis	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
